y_true,y_pred,residual,std_residual,leverage
3.97,3.5898438,0.38015628,3.288485580130953,0.7245273166419197
2.6,2.1210938,0.47890615,3.172602046423626,0.5303052297788895
2.83,2.3183594,0.51164055,3.489184176268307,0.5567709557586444
3.7,3.4785156,0.22148442,3.3961389189424516,0.9123278678460436
3.6,3.265625,0.3343749,4.237181013506542,0.8716312229611478
3.47,3.1601562,0.30984378,3.2866457932392135,0.8167998417604305
1.6,2.3828125,-0.7828125,-10.105812777353522,0.8763144202940191
2.63,2.8164062,-0.18640614,-3.7593747247100904,0.9493201571481187
2.7,1.9414062,0.7585938,5.858683386763371,0.6544072637960763
2.11,2.6757812,-0.56578135,-6.685519547328105,0.8523705422077208
3.57,3.3242188,0.24578118,4.376030847595579,0.9349746647907179
1.94,1.6367188,0.3032813,4.171117665866085,0.8910235912461921
3.9,3.5820312,0.31796885,4.240942348865587,0.8841248017742104
3.72,3.3535156,0.3664844,5.112214626721326,0.8940651331300922
2.6,2.1582031,0.44179678,6.022313221813184,0.8890660440001534
2.7,2.5039062,0.1960938,3.0397439840059364,0.9142172849812759
2.47,2.7871094,-0.31710935,-3.2954269464334405,0.8091286278046177
3.3,2.9335938,0.3664062,3.6988894466836943,0.7977311438207929
3.22,2.8886719,0.33132815,3.6124982364498157,0.8266006436745892
1.33,1.8193359,-0.4893359,-3.901636599507461,0.6757599909356934
0.85,1.3720703,-0.5220703,-3.5964637456463873,0.5656371537025272
3.39,2.96875,0.4212501,3.550195263002735,0.7097837998146728
4.3,4.0,0.3000002,3.6506612091274624,0.8607978037954414
4.46,4.1445312,0.3154688,3.7969054263623168,0.8577018273100256
2.03,2.703125,-0.673125,-4.211942363650827,0.47353109334632904
2.41,2.1835938,0.22640634,4.363882970429462,0.9445148135708814
3.0,2.9492188,0.05078125,14.17497592792629,0.9997354497354625
1.78,0.97753906,0.8024609,6.91592853050783,0.7224809083322706
1.21,0.8466797,0.36332035,3.0124840971932993,0.7001693603459559
0.67,1.125,-0.45499998,-3.6179527656075,0.6739808850306084
-0.95,-0.73046875,-0.21953124,-3.0297415080090455,0.8917750017467436
2.74,3.34375,-0.60375,-3.6309580008907836,0.4300747338437578
1.1,0.70703125,0.39296877,3.799087455880279,0.77945176379753
3.2,2.5742188,0.6257813,4.313257085881508,0.5661090837500868
1.9,1.1308594,0.7691406,4.341099414338548,0.3529198173911246
3.8,3.6972656,0.10273433,28.677053374531845,0.9997354497354608
3.25,2.9609375,0.2890625,4.4439537292462505,0.9127851295672461
